Substrates	Concentration	Strain_Media	Growth_Status	Temperature	References
Cyclic AMP	146± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Acetoacetic acid	37± 9 uM	BL21 DE3Luria-Bertani (LB) media	Stationary phase cultures (overnight culture)Shake flask	37 oC	Experimentally Determined
Carnitine	4± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
cis-Aconitic acid	16± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
cis-Aconitic acid	16± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
cis-Aconitic acid	96± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Cytidine triphosphate	2730± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Cytidine triphosphate	1400± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Cytidine triphosphate	1150± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Cytidine triphosphate	282± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
Deoxyguanosine	0.52± 0.0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Cytidine	3± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Citric acid	1960± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Citric acid	2320± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Citric acid	21900± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Citric acid	99± 12 uM	BL21 DE3Luria-Bertani (LB) media	Stationary phase cultures (overnight culture)Shake flask	37 oC	Experimentally Determined
Cytidine monophosphate	360± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Deoxyadenosine	3± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Glycine	318± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
Glycine	235± 14 uM	BL21 DE3Luria-Bertani (LB) media	Stationary phase cultures (overnight culture)Shake flask	37 oC	Experimentally Determined
Fructose 6-phosphate	250± 19 uM	K120.2 g/L NH4Cl, 2.0 g/L (NH4)2SO4, 3.25 g/L KH2PO4, 2.5 g/L K2HPO4, 1.5 g/L NaH2PO4, 0.5 g/L MgSO4; trace substances: 10 mg/L CaCl2, 0.5 mg/L ZnSO4, 0.25 mg/L CuCl2, 0.25 mg/L MnSO4, 0.175 mg/L CoCl2, 0.125 mg/L H3BO3, 2.5 mg/L AlCl3, 0.5 mg/L Na2MoO4, 10	Stationary Phase, glucose limitedBioreactor, pH controlled, aerated, dilution rate=0.125 L/h	37 oC	PMID: 11488613
Fructose 6-phosphate	290± 60 uM	BW25113M9 Minimal Media, 4 g/L Glucose	Mid-Log PhaseBioreactor, pH controlled, O2 controlled, dilution rate: 0.2/h	37 oC	PMID: 15158257
Glutathione	16600± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Glutathione	17600± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Glutathione	7970± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Glutathione	51± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
Glycerol 3-phosphate	49± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Glycerol 3-phosphate	813± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Glycerol 3-phosphate	246± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Glycerol 3-phosphate	150± 50 uM	K-12Not Available	Not AvailableNot Available	Not Available	1. Cybercell Database: http://ccdb.wishartlab.com/CCDB/cgi-bin/STAT_NEW.cgi, 2. Phillips R., Kondev, J., Theriot, J. (2008) “Physical Biology of the Cell” Garland Science, New York, NY.
Guanine	188± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Guanine	3± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Guanine	3± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Guanine	65± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
Guanosine	2± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Guanosine	25± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
Formic acid	184± 25 uM	BL21 DE3Luria-Bertani (LB) media	Stationary phase cultures (overnight culture)Shake flask	37 oC	Experimentally Determined
L-Glutamate	96000± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Glutamate	149000± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Glutamate	44800± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Glutamate	4270± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
L-Glutamate	259± 45 uM	BL21 DE3Luria-Bertani (LB) media	Stationary phase cultures (overnight culture)Shake flask	37 oC	Experimentally Determined
Gluconolactone	1040± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Malic acid	1680± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Malic acid	3450± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Malic acid	3330± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Hypoxanthine	277± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
L-Tyrosine	29± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Tyrosine	87± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Tyrosine	52± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Tyrosine	38± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
L-Tyrosine	77± 6 uM	BL21 DE3Luria-Bertani (LB) media	Stationary phase cultures (overnight culture)Shake flask	37 oC	Experimentally Determined
L-Phenylalanine	18± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Phenylalanine	42± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Phenylalanine	27± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Phenylalanine	66± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
L-Phenylalanine	52± 4 uM	BL21 DE3Luria-Bertani (LB) media	Stationary phase cultures (overnight culture)Shake flask	37 oC	Experimentally Determined
Inositol	6± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Inositol	7± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Inositol	7± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Alanine	2550± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Alanine	1770± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Alanine	879± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
